geração,Id_Barra,Nome_Barra,Tamanho Geometrico (cm),Tamanho de Corte (cm),Fitness
1,1,AB,11.9435,13.9435,0.0
1,2,BC,9.9878,13.9878,0.0
1,3,CD,9.9878,13.9878,0.0
1,4,DE,11.9435,13.9435,0.0
1,5,FG,12.3143,16.3143,0.0
1,6,GH,10.4194,14.4194,0.0
1,7,HI,10.4194,14.4194,0.0
1,8,IJ,12.3143,16.3143,0.0
1,9,AF,7.3827,9.3827,0.0
1,10,GB,4.3838,8.3838,0.0
1,11,HC,7.3516,11.3516,0.0
1,12,ID,4.3838,8.3838,0.0
1,13,EJ,7.3827,9.3827,0.0
1,14,FB,14.0411,18.0411,0.0
1,15,GC,10.9075,14.9075,0.0
1,16,IC,10.9075,14.9075,0.0
1,17,JD,14.0411,18.0411,0.0
2,1,AB,12.0,14.0,0.0
2,2,BC,9.5439,13.5439,0.0
2,3,CD,9.5439,13.5439,0.0
2,4,DE,12.0,14.0,0.0
2,5,FG,12.0178,16.0178,0.0
2,6,GH,9.5666,13.5666,0.0
2,7,HI,9.5666,13.5666,0.0
2,8,IJ,12.0178,16.0178,0.0
2,9,AF,5.0315,7.0315,0.0
2,10,GB,5.686,9.686,0.0
2,11,HC,5.0275,9.0275,0.0
2,12,ID,5.686,9.686,0.0
2,13,EJ,5.0315,7.0315,0.0
2,14,FB,13.0121,17.0121,0.0
2,15,GC,11.1093,15.1093,0.0
2,16,IC,11.1093,15.1093,0.0
2,17,JD,13.0121,17.0121,0.0
3,1,AB,12.0,14.0,0.0
3,2,BC,9.5439,13.5439,0.0
3,3,CD,9.5439,13.5439,0.0
3,4,DE,12.0,14.0,0.0
3,5,FG,12.0178,16.0178,0.0
3,6,GH,9.5666,13.5666,0.0
3,7,HI,9.5666,13.5666,0.0
3,8,IJ,12.0178,16.0178,0.0
3,9,AF,5.0315,7.0315,0.0
3,10,GB,5.686,9.686,0.0
3,11,HC,5.0275,9.0275,0.0
3,12,ID,5.686,9.686,0.0
3,13,EJ,5.0315,7.0315,0.0
3,14,FB,13.0121,17.0121,0.0
3,15,GC,11.1093,15.1093,0.0
3,16,IC,11.1093,15.1093,0.0
3,17,JD,13.0121,17.0121,0.0
4,1,AB,11.604,13.604,0.0
4,2,BC,10.0,14.0,0.0
4,3,CD,10.0,14.0,0.0
4,4,DE,11.604,13.604,0.0
4,5,FG,11.699,15.699,0.0
4,6,GH,10.079,14.079,0.0
4,7,HI,10.079,14.079,0.0
4,8,IJ,11.699,15.699,0.0
4,9,AF,6.7069,8.7069,0.0
4,10,GB,5.2185,9.2185,0.0
4,11,HC,6.4783,10.4783,0.0
4,12,ID,5.2185,9.2185,0.0
4,13,EJ,6.7069,8.7069,0.0
4,14,FB,13.4028,17.4028,0.0
4,15,GC,11.2797,15.2797,0.0
4,16,IC,11.2797,15.2797,0.0
4,17,JD,13.4028,17.4028,0.0
5,1,AB,11.604,13.604,0.0
5,2,BC,10.0,14.0,0.0
5,3,CD,10.0,14.0,0.0
5,4,DE,11.604,13.604,0.0
5,5,FG,11.699,15.699,0.0
5,6,GH,10.079,14.079,0.0
5,7,HI,10.079,14.079,0.0
5,8,IJ,11.699,15.699,0.0
5,9,AF,6.7069,8.7069,0.0
