geração,Id_Barra,Nome_Barra,Tamanho Geometrico (cm),Tamanho de Corte (cm),Fitness,No1_X,No1_Y,No2_X,No2_Y
1,1,AB,11.7456,13.7456,0.0,0.0,0.0,11.7456,0.0
1,2,BC,9.7801,13.7801,0.0,11.7456,0.0,21.5257,0.0
1,3,CD,9.7801,13.7801,0.0,21.5257,0.0,31.3058,0.0
1,4,DE,11.7456,13.7456,0.0,31.3058,0.0,43.0514,0.0
1,5,FG,11.825,15.825,0.0,0.0,6.0407,11.7456,7.4083
1,6,GH,9.7839,13.7839,0.0,11.7456,7.4083,21.5257,7.6802
1,7,HI,9.7839,13.7839,0.0,21.5257,7.6802,31.3058,7.4083
1,8,IJ,11.825,15.825,0.0,31.3058,7.4083,43.0514,6.0407
1,9,AF,6.0407,8.0407,0.0,0.0,0.0,0.0,6.0407
1,10,GB,7.4083,11.4083,0.0,11.7456,7.4083,11.7456,0.0
1,11,HC,7.6802,11.6802,0.0,21.5257,7.6802,21.5257,0.0
1,12,ID,7.4083,11.4083,0.0,31.3058,7.4083,31.3058,0.0
1,13,EJ,6.0407,8.0407,0.0,43.0514,0.0,43.0514,6.0407
1,14,FB,13.2079,17.2079,0.0,0.0,6.0407,11.7456,0.0
1,15,GC,12.2692,16.2692,0.0,11.7456,7.4083,21.5257,0.0
1,16,IC,12.2692,16.2692,0.0,31.3058,7.4083,21.5257,0.0
1,17,JD,13.2079,17.2079,0.0,43.0514,6.0407,31.3058,0.0
2,1,AB,12.0,14.0,0.0,0.0,0.0,12.0,0.0
2,2,BC,9.3082,13.3082,0.0,12.0,0.0,21.3082,0.0
2,3,CD,9.3082,13.3082,0.0,21.3082,0.0,30.6165,0.0
2,4,DE,12.0,14.0,0.0,30.6165,0.0,42.6165,0.0
2,5,FG,12.0497,16.0497,0.0,0.0,5.4599,12.0,4.3665
2,6,GH,9.3338,13.3338,0.0,12.0,4.3665,21.3082,5.0563
2,7,HI,9.3338,13.3338,0.0,21.3082,5.0563,30.6165,4.3665
2,8,IJ,12.0497,16.0497,0.0,30.6165,4.3665,42.6165,5.4599
2,9,AF,5.4599,7.4599,0.0,0.0,0.0,0.0,5.4599
2,10,GB,4.3665,8.3665,0.0,12.0,4.3665,12.0,0.0
2,11,HC,5.0563,9.0563,0.0,21.3082,5.0563,21.3082,0.0
2,12,ID,4.3665,8.3665,0.0,30.6165,4.3665,30.6165,0.0
2,13,EJ,5.4599,7.4599,0.0,42.6165,0.0,42.6165,5.4599
2,14,FB,13.1837,17.1837,0.0,0.0,5.4599,12.0,0.0
2,15,GC,10.2815,14.2815,0.0,12.0,4.3665,21.3082,0.0
2,16,IC,10.2815,14.2815,0.0,30.6165,4.3665,21.3082,0.0
2,17,JD,13.1837,17.1837,0.0,42.6165,5.4599,30.6165,0.0
3,1,AB,11.3051,13.3051,0.0,0.0,0.0,11.3051,0.0
3,2,BC,9.6827,13.6827,0.0,11.3051,0.0,20.9877,0.0
