geração,Id_Barra,Nome_Barra,Tamanho Geometrico (cm),Tamanho de Corte (cm),Fitness,No1_X,No1_Y,No2_X,No2_Y,Estado
1,1,AB,11.8283,13.8283,0.0,0.0,0.0,11.8283,0.0,Neutra
1,2,BC,9.4725,13.4725,0.0,11.8283,0.0,21.3008,0.0,Tensionada
1,3,CD,9.4725,13.4725,0.0,21.3008,0.0,30.7733,0.0,Tensionada
1,4,DE,11.8283,13.8283,0.0,30.7733,0.0,42.6016,0.0,Neutra
1,5,FG,12.2152,16.2152,0.0,0.0,6.9459,11.8283,3.8959,Comprimida
1,6,GH,9.5496,13.5496,0.0,11.8283,3.8959,21.3008,5.1068,Comprimida
1,7,HI,9.5496,13.5496,0.0,21.3008,5.1068,30.7733,3.8959,Comprimida
1,8,IJ,12.2152,16.2152,0.0,30.7733,3.8959,42.6016,6.9459,Comprimida
1,9,AF,6.9459,8.9459,0.0,0.0,0.0,0.0,6.9459,Comprimida
1,10,GB,3.8959,7.8959,0.0,11.8283,3.8959,11.8283,0.0,Comprimida
1,11,HC,5.1068,9.1068,0.0,21.3008,5.1068,21.3008,0.0,Tensionada
1,12,ID,3.8959,7.8959,0.0,30.7733,3.8959,30.7733,0.0,Comprimida
1,13,EJ,6.9459,8.9459,0.0,42.6016,0.0,42.6016,6.9459,Comprimida
1,14,FB,13.717,17.717,0.0,0.0,6.9459,11.8283,0.0,Tensionada
1,15,GC,10.2424,14.2424,0.0,11.8283,3.8959,21.3008,0.0,Tensionada
1,16,IC,10.2424,14.2424,0.0,30.7733,3.8959,21.3008,0.0,Tensionada
1,17,JD,13.717,17.717,0.0,42.6016,6.9459,30.7733,0.0,Tensionada
2,1,AB,12.0,14.0,0.0,0.0,0.0,12.0,0.0,Neutra
2,2,BC,9.9337,13.9337,0.0,12.0,0.0,21.9337,0.0,Tensionada
2,3,CD,9.9337,13.9337,0.0,21.9337,0.0,31.8675,0.0,Tensionada
2,4,DE,12.0,14.0,0.0,31.8675,0.0,43.8675,0.0,Neutra
2,5,FG,12.052,16.052,0.0,0.0,6.301,12.0,5.1828,Comprimida
2,6,GH,10.0713,14.0713,0.0,12.0,5.1828,21.9337,3.524,Comprimida
2,7,HI,10.0713,14.0713,0.0,21.9337,3.524,31.8675,5.1828,Comprimida
2,8,IJ,12.052,16.052,0.0,31.8675,5.1828,43.8675,6.301,Comprimida
2,9,AF,6.301,8.301,0.0,0.0,0.0,0.0,6.301,Comprimida
2,10,GB,5.1828,9.1828,0.0,12.0,5.1828,12.0,0.0,Comprimida
2,11,HC,3.524,7.524,0.0,21.9337,3.524,21.9337,0.0,Comprimida
2,12,ID,5.1828,9.1828,0.0,31.8675,5.1828,31.8675,0.0,Comprimida
2,13,EJ,6.301,8.301,0.0,43.8675,0.0,43.8675,6.301,Comprimida
2,14,FB,13.5537,17.5537,0.0,0.0,6.301,12.0,0.0,Tensionada
2,15,GC,11.2045,15.2045,0.0,12.0,5.1828,21.9337,0.0,Tensionada
2,16,IC,11.2045,15.2045,0.0,31.8675,5.1828,21.9337,0.0,Tensionada
